Thema,Subthema,Nummer,Naam,Modaliteit,Status,Objecttype,Type,Nen2767 beheerobject,Kunstwerktype Utrecht,Bouwmateriaal,Aanlegjaar,Theoretisch eindjaar,Lengte,Breedte,Hoogte,Oppervlakte,GIS lengte / oppervlakte,Valhoogte
Kunstwerk,Kademuur,KM060031,Van Asch van Wijckskadekademuur 01,,In gebruik,Kademuur,,Grondkering,Kademuur,Metselwerk,1948.0,2028.0,72.86,,,,72.86,2
Gebouwen,Trap,TPM06001,Van Asch van Wijckskadetrap 01,,In gebruik,Trap,,Terrein,Trap,Metselwerk,1850.0,1930.0,5.3,3.5,,18.55,,
Kunstwerk,Beweegbare brug,BB040002,Vaaltbrug,"Voetganger, Fiets, Personenauto",In gebruik,Beweegbare brug,Ophaalbrug,Bruggen (beweegbaar),,Staal,1876.0,1936.0,77.06,7,,77.06,77.06,
Kunstwerk,Vaste brug,BR040037,Noorderbrug,Zwaar wegverkeer,In gebruik,Vaste brug,,Bruggen (vast),,Staal,1934.0,1994.0,11.5,14.0,,363.37,363.37,
Kunstwerk,Damwand,BS060006,Begijnekadebeschoeiing 01,,In gebruik,Damwand,,Grondkering,Damwand,Beton,2024.0,1980.0,185.65,,,,185.65,
Kunstwerk,Damwand,DW060001,Wolvenstraatdamwand 01,,In gebruik,Damwand,,Grondkering,Damwand,Hout,2024.0,2084.0,43.15,,,,43.15,
Kunstwerk,Beweegbare brug,BB040001,Weerdbrug,"Voetganger, Fiets",In gebruik,Beweegbare brug,Dubbele basculebrug,Bruggen (beweegbaar),,"Hout, Staal",1862.0,1922.0,106.13,6.41,,106.13,106.13,
Kunstwerk,Beschoeiing,BS040148,Weerdsingel O.Z. beschoeiing 02,,In gebruik,Beschoeiing,,Grondkering,,Hout,1928.0,1953.0,86.89,,,,86.89,1.15
Kunstwerk,Damwand,BS040146,Weerdsingel O.Z. beschoeiing 01,,In gebruik,Damwand,,Grondkering,Damwand,Beton,2024.0,1965.0,477.0,,,,242.83,
Kunstwerk,Kademuur,KM040005,Wittevrouwensingelbeschoeiing 01,,In gebruik,Kademuur,,Grondkering,Kademuur,Metselwerk,1920.0,2000.0,222.87,,,,222.87,1.1
Water,Meerpaal,WC060105,WC060105,,In gebruik,Meerpaal,,,,Hout,,,,,,,,
Kunstwerk,Damwand,BS040147,Weerdsingel O.Z. beschoeiing 01www1,,In gebruik,Damwand,,Grondkering,Damwand,Beton,2024.0,1945.0,234.25,,,,234.25,
Kunstwerk,Vaste brug,BR040043,Van Asch van Wijckbrug,"Licht wegverkeer, Fiets, Voetganger",In gebruik,Vaste brug,Gewone normale vaste brug,Bruggen (vast),,Staal,1938.0,1998.0,10,16.0,,162.36,162.36,
Water,Meerpaal,WC040024,WC040024,,In gebruik,Meerpaal,,,,Hout,,,,,,,,
Water,Meerpaal,WC060103,WC060103,,In gebruik,Meerpaal,,,,Hout,,,,,,,,
Water,Meerpaal,WC040023,WC040023,,In gebruik,Meerpaal,,,,Hout,,,,,,,,
Kunstwerk,Damwand,BS060018,Begijnekadebeschoeiing 01www1,,In gebruik,Damwand,,Grondkering,Damwand,Beton,2024.0,1980.0,248.44,,,,248.44,
Kunstwerk,Damwand,BS060017,Wolvenstraatbeschoeiing 02,,In gebruik,Damwand,,Grondkering,Damwand,Staal,1905.0,1965.0,51.73,,,,51.73,0.8
