gld_bro_id,lon,lat,screen_depth_below_ground_m,first_date,last_date,n_readings,mean_level_m_nap,trend_mm_per_year,ground_level_m_nap,glg,ghg,n_years,gvg,swing,glg_depth_m
GLD000000002032,5.21499643,52.15830091,3.12,1996-07-03,2025-05-08,68143,2.0900796119924276,11.663433180761572,3.48,1.700060047490754,2.430811697936972,24,2.2211688946759263,0.7307516504462181,1.779939952509246
GLD000000002046,5.08492989,52.15908203,0.0,2014-02-08,2025-05-20,21848,-2.376135618820945,10.613506381665442,-2.29,-2.50655,-2.308019444444444,5,-2.435968055555555,0.19853055555555565,0.2165499999999998
GLD000000002108,5.18685967,52.07799299,0.98,1993-06-25,2025-05-20,22348,0.9261365670306068,0.13733716023148385,2.23,0.6418253968253967,1.2137583678398893,14,0.9183444940476191,0.5719329710144926,1.5881746031746031
GLD000000002123,4.97676537,52.02141675,1.52,2005-10-14,2025-05-20,14629,-1.5202583225100825,-1.4930146447205734,-1.28,-1.7263492063492063,-1.3939960317460316,14,-1.510142857142857,0.3323531746031747,0.4463492063492063
GLD000000002136,5.0712304,52.15583743,2.0,2014-12-16,2025-05-20,14861,-3.152504340219366,13.427906272089423,-2.86,-3.3002070932539684,-3.099996527777778,8,-3.2179609375,0.20021056547619054,0.44020709325396856
GLD000000002157,5.15057197,52.04105677,2.62,1998-12-04,2025-05-20,22336,0.5451079423352436,1.7603617119150408,1.95,0.3066688596491228,0.9187646198830408,19,0.5357955043859649,0.612095760233918,1.643331140350877
GLD000000002176,5.16729335,52.06409857,0.89,1992-01-13,2025-05-20,22472,0.7075416518333927,-1.5107921527989108,2.47,0.5311447368421053,0.9970899122807017,19,0.7288393640350878,0.46594517543859637,1.9388552631578948
GLD000000002199,5.08443651,52.05719194,2.6,1997-05-28,2025-05-08,55941,-0.6183298832698736,3.6581988888372963,-0.3,-0.6759900793650794,-0.5798095238095238,14,-0.6403794642857142,0.0961805555555556,0.3759900793650794
GLD000000002200,5.09071078,52.14681003,2.45,2007-05-15,2024-03-25,48092,-1.1121355111037179,5.5113813365398086,-0.95,-1.171703125,-1.0726371527777778,8,-1.1404292881944444,0.09906597222222224,0.2217031250000001
GLD000000002265,4.98716234,52.09543421,1.81,1972-10-13,2025-05-20,20724,-0.6965181432155955,-1.732345426083156,0.42,-0.8160329861111111,-0.5634887152777778,16,-0.7221464843750001,0.2525442708333333,1.236032986111111
GLD000000002333,5.05739921,52.15881958,0.0,2015-03-05,2024-03-25,2869,-3.6915099337748347,7.335422981683121,-3.57,-3.7327500000000002,-3.6132500000000003,2,-3.679125,0.11949999999999994,0.1627500000000004
GLD000000002346,5.24925738,52.14195179,4.51,1984-05-01,2025-05-13,21868,3.028912566306932,5.916294751450978,7.44,2.431342592592593,3.002047619047619,21,2.877672619047619,0.570705026455026,5.008657407407407
GLD000000002377,5.15243436,52.10285334,1.5,1984-05-01,2025-05-20,22946,0.27627608297742523,0.9232293007938585,1.5,0.17736197916666668,0.3781206597222222,16,0.2546171875,0.2007586805555555,1.3226380208333333
GLD000000002425,5.06570824,52.14953988,2.0,2013-11-21,2025-05-20,13658,-2.9369531410162546,7.969486167076238,-2.74,-3.0135972222222223,-2.8699444444444446,6,-2.9645781250000005,0.14365277777777763,0.27359722222222205
GLD000000002436,5.1920928,52.04540221,2.44,1997-11-21,2025-05-20,21588,1.0793450528071151,0.185022276557647,2.61,0.744547385620915,1.4675800653594773,17,1.1007683823529408,0.7230326797385622,1.8654526143790848
GLD000000002478,5.05739921,52.15881958,2.0,2015-03-05,2025-05-20,11635,-3.650868414267297,4.016248109682183,-3.57,-3.711324074074074,-3.6174444444444447,3,-3.6737256944444443,0.09387962962962915,0.141324074074074
GLD000000002581,5.19009306,52.0857551,1.44,1996-04-12,2025-05-20,17006,1.0909419616605904,3.347370678710772,1.79,0.8654064814814816,1.207774074074074,15,0.9793662037037038,0.34236759259259253,0.9245935185185185
GLD000000002653,5.07313289,52.12841095,2.5,1979-09-13,2025-05-20,20791,-0.6461124044057525,0.4867136766767888,0.04,-0.7084425925925925,-0.5362175925925925,15,-0.648938425925926,0.17222499999999996,0.7484425925925925
GLD000000002666,5.04026492,52.15781774,1.35,2011-08-10,2025-05-20,14019,-1.7705029602682074,2.0082571282343773,-1.28,-2.433924242424242,-1.3585454545454545,11,-1.635875,1.0753787878787877,1.1539242424242422
GLD000000002825,5.00584442,52.03177906,1.97,1994-02-02,2025-05-20,21357,-1.0381718874373742,1.1023696332652417,-0.32,-1.1693064412238325,-0.8330166666666667,15,-1.0903026086956522,0.3362897745571658,0.8493064412238325
GLD000000013140,4.975570449,52.146574582,1.18,2021-08-05,2025-11-17,42732,-1.7250231208462041,-11.056208582943873,-1.412,-1.9192094389765364,-1.4124135739480979,3,-1.6630262445887445,0.5067958650284385,0.5072094389765365
GLD000000013686,5.1074987,52.06722563,5.96,2021-04-21,2024-08-14,29586,-0.0009221591293179192,,1.94,-0.12498433048433048,0.16813425925925926,3,0.0349375,0.29311858974358973,2.0649843304843305
GLD000000013687,5.11216801,52.09768818,5.11,2021-04-28,2026-06-01,38343,0.08656904780533604,-60.216854689761334,2.26,-0.07905236111111111,0.4392839673913044,4,0.26066723278985504,0.5183363285024155,2.339052361111111
GLD000000013688,5.11612547,52.08763069,5.38,2021-04-28,2026-06-01,42127,0.4520470719491063,-19.109136765746275,3.8,0.3784805555555556,0.5501361111111112,5,0.43622916666666656,0.17165555555555556,3.4215194444444443
GLD000000013689,5.08187907,52.10937917,1.07,2021-04-30,2026-06-01,45085,-0.30741699012975493,-9.80347704330196,1.41,-0.42122500000000007,-0.13690555555555556,5,-0.28786875,0.2843194444444445,1.8312249999999999
GLD000000013690,5.06016847,52.09991949,6.09,2021-04-23,2026-06-01,45302,-0.4003144894265154,-32.25375902977719,1.24,-0.5020595238095239,-0.2792638888888889,5,-0.4329375,0.22279563492063498,1.742059523809524
GLD000000013691,5.12501617,52.08352614,3.02,2021-04-21,2026-06-01,45215,0.5682629879464779,-13.88129518851879,3.13,0.5098194444444445,0.6434777777777778,5,0.5711187500000001,0.13365833333333332,2.6201805555555553
GLD000000013692,5.10600081,52.08744523,3.45,2021-10-08,2026-06-01,41855,0.25109492294827385,-53.669511814576666,2.55,-0.27207291666666666,0.6499340277777778,4,0.3471328125,0.9220069444444444,2.8220729166666665
GLD000000013693,5.00501097,52.09603296,0.63,2021-04-09,2026-06-01,43438,-0.8921787375109349,-19.771184708533543,0.318,-0.9809903333333334,-0.7628311787439614,5,-0.9106741408651733,0.21815915458937196,1.2989903333333335
GLD000000013694,5.02297202,52.10683254,1.12,2021-04-12,2026-06-01,43782,-0.2578307295235485,0.7416106336585171,1.091,-0.42779015151515154,0.04707345679012346,5,-0.23323049242424246,0.474863608305275,1.5187901515151516
GLD000000013695,5.08804705,52.09631606,0.92,2021-04-15,2026-06-01,44360,0.9213024346257891,-2.342069239313482,2.081,0.7686527777777777,1.1095027777777777,5,0.95476875,0.34085,1.3123472222222223
GLD000000013696,5.13810805,52.06602653,1.56,2021-04-19,2026-06-01,43439,0.48379391790787085,-5.456707317047352,1.644,0.3220537037037038,0.6843924242424242,5,0.5171104166666667,0.3623387205387204,1.321946296296296
GLD000000013697,5.06298963,52.09326709,1.05,2021-04-23,2026-06-01,45262,0.16637254208828597,-4.678916793294924,1.86,-0.018427777777777772,0.3851612222222222,5,0.18454791666666664,0.403589,1.8784277777777778
GLD000000013698,5.12893815,52.06449719,1.04,2021-04-20,2026-06-01,42876,0.6932739061479616,23.097053861881385,1.59,0.4091555555555556,1.0057644444444445,5,0.8098625,0.5966088888888889,1.1808444444444444
GLD000000013699,5.14126563,52.09780529,1.62,2021-04-14,2026-06-01,43498,0.5264532622189526,1.5210187043798151,1.98,0.37407500000000005,0.7343,5,0.5176972222222223,0.3602249999999999,1.605925
GLD000000013700,5.06512987,52.07703285,1.21,2021-04-13,2026-05-28,42900,-0.3930563869463869,10.553829314689835,0.515,-0.5338717908902691,-0.21943005037957214,5,-0.38443376084965764,0.314441740510697,1.0488717908902692
GLD000000013701,5.04376408,52.08090801,4.99,2021-04-22,2026-06-01,45123,-0.48118644593666204,-14.716385685213323,0.74,-0.5797361111111111,-0.3415157169990503,5,-0.49198125,0.2382203941120608,1.3197361111111112
