gld_bro_id,kind,lon,lat,screen_depth_below_ground_m,first_date,last_date,n_observations,file
GLD000000002032,fully_assessed,5.21499643,52.15830091,3.12,1996-07-03,2025-05-08,41,GLD000000002032_fully_assessed.csv
GLD000000002046,fully_assessed,5.08492989,52.15908203,0.0,2014-02-08,2025-05-20,18,GLD000000002046_fully_assessed.csv
GLD000000002108,fully_assessed,5.18685967,52.07799299,0.98,1993-06-25,2025-05-20,41,GLD000000002108_fully_assessed.csv
GLD000000002123,fully_assessed,4.97676537,52.02141675,1.52,2005-10-14,2025-05-20,22,GLD000000002123_fully_assessed.csv
GLD000000002136,fully_assessed,5.0712304,52.15583743,2.0,2014-12-16,2025-05-20,22,GLD000000002136_fully_assessed.csv
GLD000000002157,fully_assessed,5.15057197,52.04105677,2.62,1998-12-04,2025-05-20,41,GLD000000002157_fully_assessed.csv
GLD000000002176,fully_assessed,5.16729335,52.06409857,0.89,1992-01-13,2025-05-20,41,GLD000000002176_fully_assessed.csv
GLD000000002199,fully_assessed,5.08443651,52.05719194,2.6,1997-05-28,2025-05-08,38,GLD000000002199_fully_assessed.csv
GLD000000002200,fully_assessed,5.09071078,52.14681003,2.45,2007-05-15,2024-03-25,10,GLD000000002200_fully_assessed.csv
GLD000000002265,fully_assessed,4.98716234,52.09543421,1.81,1972-10-13,2025-05-20,45,GLD000000002265_fully_assessed.csv
GLD000000002333,fully_assessed,5.05739921,52.15881958,0.0,2015-03-05,2024-03-25,19,GLD000000002333_fully_assessed.csv
GLD000000002346,fully_assessed,5.24925738,52.14195179,4.51,1984-05-01,2025-05-13,40,GLD000000002346_fully_assessed.csv
GLD000000002377,fully_assessed,5.15243436,52.10285334,1.5,1984-05-01,2025-05-20,42,GLD000000002377_fully_assessed.csv
GLD000000002425,fully_assessed,5.06570824,52.14953988,2.0,2013-11-21,2025-05-20,7,GLD000000002425_fully_assessed.csv
GLD000000002436,fully_assessed,5.1920928,52.04540221,2.44,1997-11-21,2025-05-20,39,GLD000000002436_fully_assessed.csv
GLD000000002478,fully_assessed,5.05739921,52.15881958,2.0,2015-03-05,2025-05-20,6,GLD000000002478_fully_assessed.csv
GLD000000002581,fully_assessed,5.19009306,52.0857551,1.44,1996-04-12,2025-05-20,10,GLD000000002581_fully_assessed.csv
GLD000000002653,fully_assessed,5.07313289,52.12841095,2.5,1979-09-13,2025-05-20,40,GLD000000002653_fully_assessed.csv
